type,addr,taken,fell
L,0x40247e,1150,0
J,0x402486,1150,0
S,0x4024e9,0,3534
S,0x4024f9,48,3659
S,0x402522,2564,248
L,0x402526,1104,1708
L,0x40252b,2698,114
S,0x40252d,2698,114
L,0x402530,2812,0
L,0x402533,1131,1681
L,0x402558,185,27
L,0x402614,0,2812
J,0x402616,2812,0
J,0x402665,2463,8
J,0x4026a4,627,523
L,0x4026c0,2812,0
L,0x4026cb,2812,0
J,0x4026dd,492,15
J,0x4026f3,30,58
L,0x40270d,0,2812
J,0x402710,2812,0
J,0x402754,662,587
J,0x402764,0,587
L,0x40276a,522,587
J,0x40276f,587,522
J,0x40278f,744,406
L,0x4027a3,406,0
M,0x4027d8,2412,976
J,0x4027df,3002,386
L,0x4027f5,1981,0
L,0x4027f7,1981,0
L,0x402805,2812,0
J,0x40284d,1142,8
L,0x402853,8,0
S,0x40285d,7,1
L,0x402860,1,7
M,0x40287e,976,2412
M,0x40289a,2412,976
M,0x4028bb,976,2412
S,0x4028d0,81,4
L,0x4028d3,19,66
J,0x4028db,19,66
L,0x4028e6,66,0
J,0x402999,333,73
J,0x4029b5,0,93
S,0x402a1b,585,1
L,0x402a1e,433,153
L,0x402a21,433,153
L,0x402a23,586,0
L,0x402a35,1976,0
S,0x402a5c,2209,603
L,0x402a60,127,2685
J,0x402a68,127,2685
L,0x402ae8,41,0
J,0x402aeb,41,0
J,0x402b14,41,0
J,0x402b1f,522,0
S,0x402bc0,48,125
L,0x402bc5,173,0
L,0x402bf4,1023,0
L,0x402bf6,1023,0
S,0x402ca7,1249,22523
S,0x402cab,17462,6310
J,0x402cb1,5061,18711
S,0x402cc2,3962,14749
S,0x402cc5,0,18711
L,0x402ccd,14749,3962
J,0x402ccf,14749,3962
J,0x402cd6,1249,2713
S,0x402cda,0,2713
L,0x402e02,3962,0
L,0x402e93,3962,0
L,0x402f95,3962,0
J,0x402f9e,0,3962
L,0x40300f,1,0
L,0x403040,1,0
L,0x403060,1,6773
J,0x403063,1,6773
J,0x403069,2811,3962
L,0x403075,0,3962
J,0x40307b,0,3962
L,0x403090,2812,1150
J,0x403093,2812,1150
J,0x4030a5,0,2811
L,0x4030b1,0,2811
J,0x4030b4,0,2811
L,0x4030c5,2811,0
L,0x4030d8,1,0
J,0x4030e1,0,1
L,0x403151,0,1
J,0x403154,0,1
L,0x403156,1,0
J,0x403174,0,1
